Luchthavens,Perioden,Overlandbewegingen,Terreinbewegingen,Totaal Vluchten,Geregelde vluchten,Aantal passagiers,Goederenvervoer (ton),Postvervoer(ton)
Amsterdam Airport Schiphol,2022-01,27131,476,26231,25905,2488083,122553,827
Amsterdam Airport Schiphol,2022-02,25198,333,24129,23743,2660676,118274,824
Amsterdam Airport Schiphol,2022-03,31821,455,30382,29909,3732048,128198,819
Amsterdam Airport Schiphol,2022-04,84150,1264,80742,79557,8880807,369025,2470
Amsterdam Airport Schiphol,2022-04,35035,494,33421,32752,4434587,116895,688
Amsterdam Airport Schiphol,2022-05,40208,478,38419,37364,5217035,119478,685
Amsterdam Airport Schiphol,2022-06,39103,475,36919,35915,5232630,116274,667
Amsterdam Airport Schiphol,2022-07,114346,1447,108759,106031,14884252,352647,2041
Amsterdam Airport Schiphol,2022-07,38012,531,36000,35066,5179725,120131,584
Amsterdam Airport Schiphol,2022-08,39284,535,37730,36811,5327361,116876,549
Amsterdam Airport Schiphol,2022-09,39029,542,37027,36223,5196931,121508,538
Amsterdam Airport Schiphol,2022-10,116325,1608,110757,108100,15704017,358515,1671
Amsterdam Airport Schiphol,2022-10,38087,597,36361,35507,4912421,125358,465
Amsterdam Airport Schiphol,2022-11,31672,468,30348,30054,3987405,119074,461
Amsterdam Airport Schiphol,2022-12,31884,448,30669,30389,4101978,113118,608
Amsterdam Airport Schiphol,2022-12,101643,1513,97378,95950,13001804,357551,1533
Amsterdam Airport Schiphol,2023-01,31055,501,29987,29598,3896388,103981,478
Amsterdam Airport Schiphol,2023-02,29446,467,28345,27995,3782228,109035,440
Amsterdam Airport Schiphol,2023-03,34653,545,33128,32760,4585101,121746,457
Amsterdam Airport Schiphol,2023-04,95154,1513,91460,90353,12263717,334761,1375
Amsterdam Airport Schiphol,2023-04,37777,492,36258,35746,5128555,113459,430
Amsterdam Airport Schiphol,2023-05,41298,584,39568,38806,5599870,117999,471
Amsterdam Airport Schiphol,2023-06,40723,541,38912,38170,5664120,112994,447
Amsterdam Airport Schiphol,2023-07,119798,1617,114738,112722,16392545,344453,1349
Amsterdam Airport Schiphol,2023-07,42541,539,40965,39984,6009315,113536,407
Amsterdam Airport Schiphol,2023-08,42932,525,41584,40570,6052884,110126,454
Rotterdam The Hague Airport,2021-04,2439,5456,510,20,6280,0,0
Rotterdam The Hague Airport,2021-07,4202,8281,1041,526,50166,0,0
Rotterdam The Hague Airport,2021-10,7701,8338,4238,3312,463008,0,0
Rotterdam The Hague Airport,2021-12,4929,5752,2518,1804,235941,0,0
Rotterdam The Hague Airport,2022-01,1437,1358,734,495,58903,0,0
Rotterdam The Hague Airport,2022-02,1514,1558,699,504,63510,0,0
Rotterdam The Hague Airport,2022-03,2461,2962,989,781,101163,0,0
Rotterdam The Hague Airport,2022-04,5412,5878,2422,1780,223576,0,0
Rotterdam The Hague Airport,2022-04,2733,2558,1437,1134,139308,0,0
Rotterdam The Hague Airport,2022-05,3412,2744,1974,1579,224714,0,0
Rotterdam The Hague Airport,2022-06,3368,2482,1858,1460,224069,0,0
Rotterdam The Hague Airport,2022-07,9513,7784,5269,4173,588091,0,0
Rotterdam The Hague Airport,2022-07,3884,2550,2465,1815,312468,0,0
Rotterdam The Hague Airport,2022-08,3628,3064,2353,1747,305371,0,0
Rotterdam The Hague Airport,2022-09,3191,2358,1927,1487,226890,0,0
Rotterdam The Hague Airport,2022-10,10703,7972,6745,5049,844729,0,0
Rotterdam The Hague Airport,2022-10,3105,2048,1914,1574,232223,0,0
Rotterdam The Hague Airport,2022-11,1930,1851,1037,847,116089,0,0
Rotterdam The Hague Airport,2022-12,1636,1488,996,872,108634,0,0
Rotterdam The Hague Airport,2022-12,6671,5387,3947,3293,456946,0,0
Rotterdam The Hague Airport,2023-01,1840,1790,1052,917,113614,0,0
Rotterdam The Hague Airport,2023-02,2059,1868,1108,964,123054,0,0
Rotterdam The Hague Airport,2023-03,2516,1907,1455,1212,168396,0,0
Rotterdam The Hague Airport,2023-04,6415,5565,3615,3093,405064,0,0
Rotterdam The Hague Airport,2023-04,2712,2371,1469,1205,165235,0,0
Rotterdam The Hague Airport,2023-05,3335,2603,1851,1619,234535,0,0
Rotterdam The Hague Airport,2023-06,3465,2476,1826,1526,223911,0,0
Rotterdam The Hague Airport,2023-07,9512,7450,5146,4350,623681,0,0
Rotterdam The Hague Airport,2023-07,3313,2115,2025,1721,260281,0,0
Rotterdam The Hague Airport,2023-08,3225,2522,1962,1714,260788,0,0
Eindhoven Airport,2021-04,1068,0,967,887,63442,0,0
Eindhoven Airport,2021-07,2679,0,2363,2175,227211,0,0
Eindhoven Airport,2021-10,9553,0,9136,8736,1279911,0,0
Eindhoven Airport,2021-12,8406,0,8058,7752,1127860,0,0
Eindhoven Airport,2022-01,2220,0,2133,2060,275066,0,0
Eindhoven Airport,2022-02,2238,0,2151,2064,309283,0,0
Eindhoven Airport,2022-03,2806,0,2700,2595,401775,0,0
Eindhoven Airport,2022-04,7264,0,6984,6719,986124,0,0
Eindhoven Airport,2022-04,3504,0,3390,3281,545981,0,0
Eindhoven Airport,2022-05,3901,0,3768,3645,618681,0,0
Eindhoven Airport,2022-06,3858,0,3724,3622,631243,0,0
Eindhoven Airport,2022-07,11263,0,10882,10548,1795905,0,0
Eindhoven Airport,2022-07,4049,0,3909,3799,662646,0,0
Eindhoven Airport,2022-08,4067,0,3948,3842,678848,0,0
Eindhoven Airport,2022-09,3926,0,3800,3658,636581,0,0
Eindhoven Airport,2022-10,12042,0,11657,11299,1978075,0,0
Eindhoven Airport,2022-10,4043,0,3935,3799,669753,0,0
Eindhoven Airport,2022-11,2740,0,2683,2625,448417,0,0
Eindhoven Airport,2022-12,2904,0,2838,2778,452325,0,0
Eindhoven Airport,2022-12,9687,0,9456,9202,1570495,0,0
Eindhoven Airport,2023-01,2919,0,2843,2761,452713,0,0
Eindhoven Airport,2023-02,2637,0,2565,2486,425978,0,0
Eindhoven Airport,2023-03,3072,0,2970,2903,503693,0,0
Eindhoven Airport,2023-04,8628,0,8378,8150,1382384,0,0
Eindhoven Airport,2023-04,3572,0,3495,3395,597756,0,0
Eindhoven Airport,2023-05,3964,0,3864,3751,664708,0,0
Eindhoven Airport,2023-06,3878,0,3774,3659,640577,0,0
Eindhoven Airport,2023-07,11414,0,11133,10805,1903041,0,0
Eindhoven Airport,2023-07,4007,0,3915,3798,671051,0,0
Eindhoven Airport,2023-08,4003,0,3929,3810,680983,0,0
Maastricht Aachen Airport,2021-04,1970,385,1565,1190,1870,31958,0
Maastricht Aachen Airport,2021-07,2443,988,1578,1238,8151,29804,0
Maastricht Aachen Airport,2021-10,2979,865,1806,1449,62962,28818,0
Maastricht Aachen Airport,2021-12,2598,674,1652,1311,24663,37413,0
Maastricht Aachen Airport,2022-01,613,58,431,290,5880,9035,0
Maastricht Aachen Airport,2022-02,681,193,398,288,3288,7746,0
Maastricht Aachen Airport,2022-03,853,330,434,350,3371,9372,0
Maastricht Aachen Airport,2022-04,2147,581,1263,928,12539,26152,0
Maastricht Aachen Airport,2022-04,938,280,514,393,15386,9763,0
Maastricht Aachen Airport,2022-05,1073,420,542,399,22019,8634,0
Maastricht Aachen Airport,2022-06,1258,454,599,396,20728,9584,0
Maastricht Aachen Airport,2022-07,3269,1154,1655,1188,58133,27981,0
Maastricht Aachen Airport,2022-07,1305,216,712,580,45778,9898,0
Maastricht Aachen Airport,2022-08,1063,198,696,570,53999,8161,0
Maastricht Aachen Airport,2022-09,942,194,640,479,35942,9230,0
Maastricht Aachen Airport,2022-10,3310,608,2048,1629,135719,27289,0
Maastricht Aachen Airport,2022-10,869,310,587,486,30520,10154,0
Maastricht Aachen Airport,2022-11,738,184,460,294,15032,9321,0
Maastricht Aachen Airport,2022-12,576,88,396,288,14089,7321,0
Maastricht Aachen Airport,2022-12,2183,582,1443,1068,59641,26796,0
Maastricht Aachen Airport,2023-01,548,158,376,277,13518,5133,0
Maastricht Aachen Airport,2023-02,581,170,331,228,13883,4113,0
Maastricht Aachen Airport,2023-03,815,146,423,234,15890,3661,0
Maastricht Aachen Airport,2023-04,1944,474,1130,739,43291,12907,0
Maastricht Aachen Airport,2023-04,631,306,326,204,15696,2670,0
Maastricht Aachen Airport,2023-05,131,72,60,38,3485,282,0
Maastricht Aachen Airport,2023-06,0,0,0,0,0,0,0
Maastricht Aachen Airport,2023-07,762,378,386,242,19181,2952,0
Maastricht Aachen Airport,2023-07,788,248,525,381,38134,2166,0
Maastricht Aachen Airport,2023-08,755,356,479,377,43360,1993,0
Groningen Airport Eelde,2021-04,1604,7334,83,0,0,0,0
Groningen Airport Eelde,2021-07,2805,16326,106,0,694,0,0
Groningen Airport Eelde,2021-10,2685,14302,273,0,14806,0,0
Groningen Airport Eelde,2021-12,1888,10056,212,0,11760,0,0
Groningen Airport Eelde,2022-01,563,3320,75,0,3666,0,0
Groningen Airport Eelde,2022-02,828,3695,79,0,3436,0,0
Groningen Airport Eelde,2022-03,1166,5958,63,0,3306,0,0
Groningen Airport Eelde,2022-04,2557,12973,217,0,10408,0,0
Groningen Airport Eelde,2022-04,1029,4076,62,0,5010,0,0
Groningen Airport Eelde,2022-05,1043,4264,120,0,8746,0,0
Groningen Airport Eelde,2022-06,1260,5606,148,0,9400,0,0
Groningen Airport Eelde,2022-07,3332,13946,330,0,23156,0,0
Groningen Airport Eelde,2022-07,1114,5362,132,0,11314,0,0
Groningen Airport Eelde,2022-08,1131,5378,135,0,13390,0,0
Groningen Airport Eelde,2022-09,901,5230,129,0,12223,0,0
Groningen Airport Eelde,2022-10,3146,15970,396,0,36927,0,0
Groningen Airport Eelde,2022-10,1013,4706,112,0,9732,0,0
Groningen Airport Eelde,2022-11,796,3268,69,0,3515,0,0
Groningen Airport Eelde,2022-12,591,2423,69,0,3467,0,0
Groningen Airport Eelde,2022-12,2400,10397,250,0,16714,0,0
Groningen Airport Eelde,2023-01,676,4006,64,0,3781,0,0
Groningen Airport Eelde,2023-02,850,4477,67,0,3501,0,0
Groningen Airport Eelde,2023-03,927,4446,68,0,3771,0,0
Groningen Airport Eelde,2023-04,2453,12929,199,0,11053,0,0
Groningen Airport Eelde,2023-04,1030,4770,61,0,5532,0,0
Groningen Airport Eelde,2023-05,1100,4939,126,0,12283,0,0
Groningen Airport Eelde,2023-06,1194,5484,126,0,10831,0,0
Groningen Airport Eelde,2023-07,3324,15193,313,0,28646,0,0
Groningen Airport Eelde,2023-07,1016,4229,126,0,12466,0,0
Groningen Airport Eelde,2023-08,1045,5272,157,0,23618,0,0
